question,answer
리그오브레전드 최소사양은 무엇인가요?,"- OS : Windows 7, Windows 8 또는 Windows 10 정품 (x86 32bit 또는 x64)
- CPU : Intel: Core i3-530 AMD: A6-3650 ARM: 미지원
- 램 : 2GB
- 하드 : HDD 16GB 이상
- 그래픽 : NVidia: GeForce 9600GT AMD: HD 6570 Intel: Intel HD 4600 내장 그래픽 (비디오 메모리 1GB 이상)
"
리그오브레전드 이 프로그램을 실행하기 위한 최소 요구 사항은?,"- OS : Windows 7, Windows 8 또는 Windows 10 정품 (x86 32bit 또는 x64)
- CPU : Intel: Core i3-530 AMD: A6-3650 ARM: 미지원
- 램 : 2GB
- 하드 : HDD 16GB 이상
- 그래픽 : NVidia: GeForce 9600GT AMD: HD 6570 Intel: Intel HD 4600 내장 그래픽 (비디오 메모리 1GB 이상)
"
리그오브레전드 최소한으로 필요한 사양을 알려주세요.,"- OS : Windows 7, Windows 8 또는 Windows 10 정품 (x86 32bit 또는 x64)
- CPU : Intel: Core i3-530 AMD: A6-3650 ARM: 미지원
- 램 : 2GB
- 하드 : HDD 16GB 이상
- 그래픽 : NVidia: GeForce 9600GT AMD: HD 6570 Intel: Intel HD 4600 내장 그래픽 (비디오 메모리 1GB 이상)
"
리그오브레전드 권장사양은 무엇인가요?,"- OS : Windows 10 정품 (x64)
- CPU : Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: 미지원
- 램 : 4GB
- 하드 : SSD 16GB 이상
- 그래픽 : NVidia: GeForce 560 AMD: HD 6950 Intel: Intel UHD 630 내장 그래픽 (비디오 메모리 2GB 이상)
리그오브레전드 컴퓨터 견적 추천 (2024년 04월)
"
리그오브레전드 이 프로그램의 최적 사양은 무엇인가요?,"- OS : Windows 10 정품 (x64)
- CPU : Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: 미지원
- 램 : 4GB
- 하드 : SSD 16GB 이상
- 그래픽 : NVidia: GeForce 560 AMD: HD 6950 Intel: Intel UHD 630 내장 그래픽 (비디오 메모리 2GB 이상)
리그오브레전드 컴퓨터 견적 추천 (2024년 04월)
"
리그오브레전드 권장하는 시스템 사양이 궁금합니다.,"- OS : Windows 10 정품 (x64)
- CPU : Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: 미지원
- 램 : 4GB
- 하드 : SSD 16GB 이상
- 그래픽 : NVidia: GeForce 560 AMD: HD 6950 Intel: Intel UHD 630 내장 그래픽 (비디오 메모리 2GB 이상)
리그오브레전드 컴퓨터 견적 추천 (2024년 04월)
"
리그오브레전드 FHD 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
중옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 FHD 해상도에서 사용할 수 있는 컴퓨터 견적이 궁금해요.,"하옵 추천견적서	
중옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 1920x1080 해상도에 최적화된 견적을 알려주세요.,"하옵 추천견적서	
중옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 QHD 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 조합100만원 중반
AMD : 라이젠5 5600 + RTX 4060 조합80만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 QHD 해상도에 적합한 PC 구성을 알고 싶습니다.,"하옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 조합100만원 중반
AMD : 라이젠5 5600 + RTX 4060 조합80만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 2560x1440 해상도용 추천 견적이 무엇인가요?,"하옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
최상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 조합100만원 중반
AMD : 라이젠5 5600 + RTX 4060 조합80만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
리그오브레전드 4K 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 조합100만원 중반
AMD : 라이젠5 5600 + RTX 4060 조합80만원 후반
최상옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 3070 조합110만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
리그오브레전드 4K 해상도를 위한 최적의 컴퓨터 견적을 알려주세요.,"하옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + GTX 1660 SUPER 조합70만원 중반
중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 조합100만원 중반
AMD : 라이젠5 5600 + RTX 4060 조합80만원 후반
최상옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 3070 조합110만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
